,#,Country,Flag,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg
45,46,Canada,,1458,146,10.01,1812,14,36,92,1,12,16,36
46,47,Georgia,,1282,352,27.46,1543,31,40,20,11,12,20,28
47,48,Ecuador,,1211,301,24.86,1572,1,14,20,2,4,14,26
48,49,Armenia,,1191,181,15.2,1699,41,27,33,4,10,6,26
49,50,Bangladesh,,1190,100,8.4,1660,5,3,12,0,3,5,35
50,51,South Africa,,1174,194,16.52,1469,1,9,26,1,13,19,29
51,52,Finland,,1117,49,4.39,1872,5,22,84,0,1,4,48
52,53,Lithuania,,1071,186,17.37,1642,8,17,23,1,4,6,36
53,54,Bolivia,,1051,225,21.41,1397,1,2,12,0,3,4,23
54,55,Uzbekistan,,1011,206,20.38,1656,16,14,26,5,5,9,28
55,56,Belarus,,992,186,18.75,1645,17,26,34,4,5,26,30
56,57,Philippines,,942,186,19.75,1728,13,25,22,1,10,9,32
57,58,Bosnia and Herzegovina,,926,78,8.42,1878,8,19,63,1,1,5,46
58,59,Indonesia,,879,155,17.63,1868,5,23,54,1,8,32,37
59,60,Nepal,,857,52,6.07,1572,0,0,5,0,0,1,37
60,61,Myanmar,,798,32,4.01,1891,0,5,30,0,0,6,43
61,62,Costa Rica,,740,114,15.41,1493,1,8,14,0,5,5,30
62,63,Vietnam,,728,273,37.5,1720,11,16,19,5,14,40,24
63,64,Latvia,,724,137,18.92,1709,11,10,29,5,4,8,35
64,65,Iraq,,691,68,9.84,1595,0,7,18,0,2,6,37
65,66,Ireland,,689,41,5.95,1752,1,8,18,0,0,7,45
66,67,Zambia,,674,61,9.05,1749,1,8,4,0,1,1,32
67,68,South Korea,,663,160,24.13,1422,1,3,2,0,0,3,25
68,69,Moldova,,654,125,19.11,1463,7,22,30,4,4,7,31
69,70,Dominican Republic,,652,51,7.82,1719,1,6,19,0,0,4,37
70,71,Iceland,,642,34,5.3,1747,14,12,30,1,2,2,44
71,72,Singapore,,638,98,15.36,1285,3,14,23,1,2,8,24
72,73,Algeria,,633,104,16.43,1591,3,12,13,0,12,8,31
73,74,Mongolia,,560,197,35.18,1690,4,12,28,2,8,11,29
74,75,Uruguay,,559,37,6.62,1453,2,6,11,0,1,2,41
